sa,sector,series,geo,year,startups
A,Transportation and Warehousing,BA_BA,US,12/1/2022,33364
A,Transportation and Warehousing,BA_BA,US,1/1/2023,33486
A,Transportation and Warehousing,BA_BA,US,2/1/2023,34192
A,Transportation and Warehousing,BA_BA,US,3/1/2023,34857
A,Transportation and Warehousing,BA_BA,US,4/1/2023,33959
A,Transportation and Warehousing,BA_BA,US,5/1/2023,32234
A,Transportation and Warehousing,BA_BA,US,6/1/2023,33963
A,Transportation and Warehousing,BA_BA,US,7/1/2023,34292
A,Transportation and Warehousing,BA_BA,US,8/1/2023,32735
A,Transportation and Warehousing,BA_BA,US,9/1/2023,31411
A,Transportation and Warehousing,BA_BA,US,10/1/2023,31237
A,Transportation and Warehousing,BA_BA,US,11/1/2023,30775
A,Transportation and Warehousing,BA_BA,US,12/1/2023,31051
A,Transportation and Warehousing,BA_BA,US,1/1/2024,30697
A,Transportation and Warehousing,BA_BA,US,2/1/2024,30776
A,Transportation and Warehousing,BA_BA,US,3/1/2024,29336
A,Finance and Insurance,BA_BA,US,1/1/2021,22445
A,Finance and Insurance,BA_BA,US,2/1/2021,21083
A,Finance and Insurance,BA_BA,US,3/1/2021,21374
A,Finance and Insurance,BA_BA,US,4/1/2021,21875
A,Finance and Insurance,BA_BA,US,5/1/2021,22405
A,Finance and Insurance,BA_BA,US,6/1/2021,20590
A,Finance and Insurance,BA_BA,US,7/1/2021,20358
A,Finance and Insurance,BA_BA,US,8/1/2021,19738
A,Finance and Insurance,BA_BA,US,9/1/2021,19936
A,Finance and Insurance,BA_BA,US,10/1/2021,20810
A,Finance and Insurance,BA_BA,US,11/1/2021,20970
A,Finance and Insurance,BA_BA,US,12/1/2021,20189
A,Finance and Insurance,BA_BA,US,1/1/2022,20186
A,Finance and Insurance,BA_BA,US,2/1/2022,19529
A,Finance and Insurance,BA_BA,US,3/1/2022,19009
A,Finance and Insurance,BA_BA,US,4/1/2022,19344
A,Finance and Insurance,BA_BA,US,5/1/2022,19572
A,Finance and Insurance,BA_BA,US,6/1/2022,18480
A,Finance and Insurance,BA_BA,US,7/1/2022,18891
A,Finance and Insurance,BA_BA,US,8/1/2022,18368
A,Finance and Insurance,BA_BA,US,9/1/2022,18235
A,Finance and Insurance,BA_BA,US,10/1/2022,17951
A,Finance and Insurance,BA_BA,US,11/1/2022,17189
A,Finance and Insurance,BA_BA,US,12/1/2022,17148
A,Finance and Insurance,BA_BA,US,1/1/2023,17538
A,Finance and Insurance,BA_BA,US,2/1/2023,18728
A,Finance and Insurance,BA_BA,US,3/1/2023,18966
A,Finance and Insurance,BA_BA,US,4/1/2023,18118
A,Finance and Insurance,BA_BA,US,5/1/2023,18176
A,Finance and Insurance,BA_BA,US,6/1/2023,18745
A,Finance and Insurance,BA_BA,US,7/1/2023,19044
A,Finance and Insurance,BA_BA,US,8/1/2023,19067
A,Finance and Insurance,BA_BA,US,9/1/2023,18118
A,Finance and Insurance,BA_BA,US,10/1/2023,17172
A,Finance and Insurance,BA_BA,US,11/1/2023,17364
A,Finance and Insurance,BA_BA,US,12/1/2023,17453
A,Finance and Insurance,BA_BA,US,1/1/2024,17577
A,Finance and Insurance,BA_BA,US,2/1/2024,17452
A,Finance and Insurance,BA_BA,US,3/1/2024,17748
A,Real Estate,BA_BA,US,1/1/2021,24827
A,Real Estate,BA_BA,US,2/1/2021,22073
A,Real Estate,BA_BA,US,3/1/2021,22802
A,Real Estate,BA_BA,US,4/1/2021,23917
A,Real Estate,BA_BA,US,5/1/2021,24915
A,Real Estate,BA_BA,US,6/1/2021,23576
A,Real Estate,BA_BA,US,7/1/2021,23719
A,Real Estate,BA_BA,US,8/1/2021,23964
A,Real Estate,BA_BA,US,9/1/2021,24152
A,Real Estate,BA_BA,US,10/1/2021,25456
A,Real Estate,BA_BA,US,11/1/2021,25547
A,Real Estate,BA_BA,US,12/1/2021,24543
A,Real Estate,BA_BA,US,1/1/2022,25218
A,Real Estate,BA_BA,US,2/1/2022,24449
A,Real Estate,BA_BA,US,3/1/2022,24341
A,Real Estate,BA_BA,US,4/1/2022,24728
A,Real Estate,BA_BA,US,5/1/2022,25451
A,Real Estate,BA_BA,US,6/1/2022,23444
A,Real Estate,BA_BA,US,7/1/2022,23660
A,Real Estate,BA_BA,US,8/1/2022,23498
A,Real Estate,BA_BA,US,9/1/2022,24441
A,Real Estate,BA_BA,US,10/1/2022,24495
A,Real Estate,BA_BA,US,11/1/2022,23539
A,Real Estate,BA_BA,US,12/1/2022,23133
A,Real Estate,BA_BA,US,1/1/2023,23655
A,Real Estate,BA_BA,US,2/1/2023,24309
A,Real Estate,BA_BA,US,3/1/2023,24996
A,Real Estate,BA_BA,US,4/1/2023,24222
A,Real Estate,BA_BA,US,5/1/2023,24019
A,Real Estate,BA_BA,US,6/1/2023,25201
A,Real Estate,BA_BA,US,7/1/2023,25472
A,Real Estate,BA_BA,US,8/1/2023,25145
A,Real Estate,BA_BA,US,9/1/2023,23411
A,Real Estate,BA_BA,US,10/1/2023,22525
A,Real Estate,BA_BA,US,11/1/2023,22117
A,Real Estate,BA_BA,US,12/1/2023,21708
A,Real Estate,BA_BA,US,1/1/2024,21846
A,Real Estate,BA_BA,US,2/1/2024,21895
A,Real Estate,BA_BA,US,3/1/2024,21745
A,Arts and Entertainment,BA_BA,US,1/1/2021,13204
A,Arts and Entertainment,BA_BA,US,2/1/2021,11486
A,Arts and Entertainment,BA_BA,US,3/1/2021,12006
A,Arts and Entertainment,BA_BA,US,4/1/2021,14171
A,Arts and Entertainment,BA_BA,US,5/1/2021,14580
A,Arts and Entertainment,BA_BA,US,6/1/2021,13016
A,Arts and Entertainment,BA_BA,US,7/1/2021,12844
A,Arts and Entertainment,BA_BA,US,8/1/2021,11473
A,Arts and Entertainment,BA_BA,US,9/1/2021,11639
A,Arts and Entertainment,BA_BA,US,10/1/2021,11439
A,Arts and Entertainment,BA_BA,US,11/1/2021,11511
A,Arts and Entertainment,BA_BA,US,12/1/2021,11376
A,Arts and Entertainment,BA_BA,US,1/1/2022,11278
A,Arts and Entertainment,BA_BA,US,2/1/2022,10950
A,Arts and Entertainment,BA_BA,US,3/1/2022,11043
A,Arts and Entertainment,BA_BA,US,4/1/2022,11441
A,Arts and Entertainment,BA_BA,US,5/1/2022,11794
A,Arts and Entertainment,BA_BA,US,6/1/2022,11632
A,Arts and Entertainment,BA_BA,US,7/1/2022,12352
A,Arts and Entertainment,BA_BA,US,8/1/2022,12309
A,Arts and Entertainment,BA_BA,US,9/1/2022,12312
A,Arts and Entertainment,BA_BA,US,10/1/2022,13168
A,Arts and Entertainment,BA_BA,US,11/1/2022,13065
A,Arts and Entertainment,BA_BA,US,12/1/2022,13161
A,Arts and Entertainment,BA_BA,US,1/1/2023,13708
A,Arts and Entertainment,BA_BA,US,2/1/2023,13559
A,Arts and Entertainment,BA_BA,US,3/1/2023,13613
A,Arts and Entertainment,BA_BA,US,4/1/2023,13356
A,Arts and Entertainment,BA_BA,US,5/1/2023,13292
A,Arts and Entertainment,BA_BA,US,6/1/2023,13390
A,Arts and Entertainment,BA_BA,US,7/1/2023,13389
A,Arts and Entertainment,BA_BA,US,8/1/2023,13565
A,Arts and Entertainment,BA_BA,US,9/1/2023,13349
A,Arts and Entertainment,BA_BA,US,10/1/2023,13000
A,Arts and Entertainment,BA_BA,US,11/1/2023,13180
A,Arts and Entertainment,BA_BA,US,12/1/2023,13237
A,Arts and Entertainment,BA_BA,US,1/1/2024,13034
A,Arts and Entertainment,BA_BA,US,2/1/2024,12758
A,Arts and Entertainment,BA_BA,US,3/1/2024,12582
